
Init Node at: | June/24|13:56:01+++++++++++++++++++++++
----------------------------------------
Data at time: June/24|13:56:01 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 28.1 0.0 2577.0 0.0 False True False 1
Data at time: June/24|13:56:02 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 28.2 0.0 2595.0 0.0 False True False 1
Data at time: June/24|13:56:02 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 28.1 0.0 2485.0 0.0 False True False 1
Data at time: June/24|13:56:02 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 28.0 0.0 2815.0 0.0 False True False 1
Data at time: June/24|13:56:02 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 28.1 0.0 2626.0 0.0 False True False 1
Data at time: June/24|13:56:03 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 28.0 0.0 2565.0 0.0 False True False 1
Data at time: June/24|13:56:03 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 27.8 0.0 2626.0 0.0 False True False 1
Data at time: June/24|13:56:03 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 28.1 0.0 2821.0 0.0 False True False 1
Data at time: June/24|13:56:03 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 28.0 0.0 2406.0 0.0 False True False 1
Data at time: June/24|13:56:04 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 28.1 0.0 2748.0 0.0 False True False 1
Data at time: June/24|13:56:04 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 28.1 0.0 2699.0 0.0 False True False 1
Data at time: June/24|13:56:04 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 28.1 0.0 2778.0 0.0 False True False 1
Data at time: June/24|13:56:04 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 28.3 0.0 2699.0 0.0 False True False 1
Data at time: June/24|13:56:05 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 27.9 0.0 2620.0 0.0 False True False 1
Data at time: June/24|13:56:05 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 28.1 0.0 2699.0 0.0 False True False 1
Data at time: June/24|13:56:05 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 27.8 0.0 2693.0 0.0 False True False 1
Data at time: June/24|13:56:05 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 28.2 0.0 2699.0 0.0 False True False 1
Data at time: June/24|13:56:06 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 28.3 0.0 3162.0 0.0 False True False 1
Data at time: June/24|13:56:06 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 28.2 0.0 2784.0 0.0 False True False 1
Data at time: June/24|13:56:06 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 28.1 0.0 2742.0 0.0 False True False 1
Data at time: June/24|13:56:06 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 28.1 0.0 2802.0 0.0 False True False 1
Init Node at: | June/24|14:13:20+++++++++++++++++++++++
----------------------------------------
Data at time: June/24|14:13:20 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 666.0 0.0 False True False 1
Data at time: June/24|14:13:20 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.3 0.0 641.0 0.0 False True False 1
Data at time: June/24|14:13:20 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 650.0 0.0 False True False 1
Data at time: June/24|14:13:20 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 683.0 0.0 False True False 1
Data at time: June/24|14:13:21 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 28.9 0.0 631.0 0.0 False True False 1
Data at time: June/24|14:13:21 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 677.0 0.0 False True False 1
Data at time: June/24|14:13:21 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 662.0 0.0 False True False 1
Data at time: June/24|14:13:21 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 681.0 0.0 False True False 1
Data at time: June/24|14:13:22 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 630.0 0.0 False True False 1
Data at time: June/24|14:13:22 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.0 0.0 616.0 0.0 False True False 1
Data at time: June/24|14:13:22 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.0 0.0 646.0 0.0 False True False 1
Data at time: June/24|14:13:22 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 704.0 0.0 False True False 1
Data at time: June/24|14:13:23 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 28.9 0.0 637.0 0.0 False True False 1
Data at time: June/24|14:13:23 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 735.0 0.0 False True False 1
Data at time: June/24|14:13:23 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 693.0 0.0 False True False 1
Data at time: June/24|14:13:23 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.0 0.0 589.0 0.0 False True False 1
Data at time: June/24|14:13:24 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.0 0.0 688.0 0.0 False True False 1
Data at time: June/24|14:13:24 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 618.0 0.0 False True False 1
Data at time: June/24|14:13:24 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 660.0 0.0 False True False 1
Data at time: June/24|14:13:24 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 624.0 0.0 False True False 1
Data at time: June/24|14:13:25 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 662.0 0.0 False True False 1
Data at time: June/24|14:13:25 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 28.9 0.0 631.0 0.0 False True False 1
Data at time: June/24|14:13:25 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 664.0 0.0 False True False 1
Data at time: June/24|14:13:25 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 630.0 0.0 False True False 1
Data at time: June/24|14:13:26 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.4 0.0 675.0 0.0 False True False 1
Data at time: June/24|14:13:26 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 651.0 0.0 False True False 1
Data at time: June/24|14:13:26 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 28.9 0.0 681.0 0.0 False True False 1
Data at time: June/24|14:13:27 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.0 0.0 766.0 0.0 False True False 1
Data at time: June/24|14:13:27 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 670.0 0.0 False True False 1
Data at time: June/24|14:13:27 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.4 0.0 659.0 0.0 False True False 1
Data at time: June/24|14:13:27 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 638.0 0.0 False True False 1
Data at time: June/24|14:13:28 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 651.0 0.0 False True False 1
Data at time: June/24|14:13:28 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 662.0 0.0 False True False 1
Data at time: June/24|14:13:28 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 645.0 0.0 False True False 1
Data at time: June/24|14:13:28 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.5 0.0 674.0 0.0 False True False 1
Data at time: June/24|14:13:29 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 672.0 0.0 False True False 1
Data at time: June/24|14:13:29 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 638.0 0.0 False True False 1
Data at time: June/24|14:13:29 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 613.0 0.0 False True False 1
Data at time: June/24|14:13:29 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 659.0 0.0 False True False 1
Data at time: June/24|14:13:30 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 666.0 0.0 False True False 1
Data at time: June/24|14:13:30 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 618.0 0.0 False True False 1
Data at time: June/24|14:13:30 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.0 0.0 674.0 0.0 False True False 1
Data at time: June/24|14:13:30 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.3 0.0 624.0 0.0 False True False 1
Data at time: June/24|14:13:31 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 28.9 0.0 664.0 0.0 False True False 1
Data at time: June/24|14:13:31 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 689.0 0.0 False True False 1
Data at time: June/24|14:13:31 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.3 0.0 631.0 0.0 False True False 1
Data at time: June/24|14:13:31 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 651.0 0.0 False True False 1
Data at time: June/24|14:13:32 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 671.0 0.0 False True False 1
Data at time: June/24|14:13:32 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 674.0 0.0 False True False 1
Data at time: June/24|14:13:32 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 697.0 0.0 False True False 1
Data at time: June/24|14:13:32 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 674.0 0.0 False True False 1
Data at time: June/24|14:13:33 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 677.0 0.0 False True False 1
Data at time: June/24|14:13:33 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.3 0.0 674.0 0.0 False True False 1
Data at time: June/24|14:13:33 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 28.9 0.0 712.0 0.0 False True False 1
Data at time: June/24|14:13:33 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 575.0 0.0 False True False 1
Data at time: June/24|14:13:34 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 633.0 0.0 False True False 1
Data at time: June/24|14:13:34 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 667.0 0.0 False True False 1
Data at time: June/24|14:13:34 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 674.0 0.0 False True False 1
Data at time: June/24|14:13:34 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 713.0 0.0 False True False 1
Data at time: June/24|14:13:35 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.3 0.0 672.0 0.0 False True False 1
Data at time: June/24|14:13:35 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 613.0 0.0 False True False 1
Data at time: June/24|14:13:35 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 627.0 0.0 False True False 1
Data at time: June/24|14:13:35 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 668.0 0.0 False True False 1
Data at time: June/24|14:13:36 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 674.0 0.0 False True False 1
Data at time: June/24|14:13:36 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 698.0 0.0 False True False 1
Data at time: June/24|14:13:36 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 691.0 0.0 False True False 1
Data at time: June/24|14:13:36 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 698.0 0.0 False True False 1
Data at time: June/24|14:13:37 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 635.0 0.0 False True False 1
Data at time: June/24|14:13:37 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.0 0.0 733.0 0.0 False True False 1
Data at time: June/24|14:13:37 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 646.0 0.0 False True False 1
Data at time: June/24|14:13:37 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.0 0.0 572.0 0.0 False True False 1
Data at time: June/24|14:13:38 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 604.0 0.0 False True False 1
Data at time: June/24|14:13:38 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 697.0 0.0 False True False 1
Data at time: June/24|14:13:38 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.3 0.0 701.0 0.0 False True False 1
Data at time: June/24|14:13:38 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.0 0.0 670.0 0.0 False True False 1
Data at time: June/24|14:13:39 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.0 0.0 629.0 0.0 False True False 1
Data at time: June/24|14:13:39 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 663.0 0.0 False True False 1
Data at time: June/24|14:13:39 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.4 0.0 547.0 0.0 False True False 1
Data at time: June/24|14:13:39 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 658.0 0.0 False True False 1
Data at time: June/24|14:13:40 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 692.0 0.0 False True False 1
Data at time: June/24|14:13:40 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 680.0 0.0 False True False 1
Data at time: June/24|14:13:40 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 677.0 0.0 False True False 1
Data at time: June/24|14:13:40 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.5 0.0 677.0 0.0 False True False 1
Data at time: June/24|14:13:41 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 28.9 0.0 631.0 0.0 False True False 1
Data at time: June/24|14:13:41 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 576.0 0.0 False True False 1
Data at time: June/24|14:13:41 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.3 0.0 683.0 0.0 False True False 1
Data at time: June/24|14:13:41 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.3 0.0 787.0 0.0 False True False 1
Data at time: June/24|14:13:42 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.3 0.0 612.0 0.0 False True False 1
Data at time: June/24|14:13:42 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.3 0.0 741.0 0.0 False True False 1
Data at time: June/24|14:13:42 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 651.0 0.0 False True False 1
Data at time: June/24|14:13:42 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 708.0 0.0 False True False 1
Data at time: June/24|14:13:43 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 717.0 0.0 False True False 1
Data at time: June/24|14:13:43 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 672.0 0.0 False True False 1
Data at time: June/24|14:13:43 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 674.0 0.0 False True False 1
Data at time: June/24|14:13:43 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.4 0.0 616.0 0.0 False True False 1
Data at time: June/24|14:13:44 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 626.0 0.0 False True False 1
Data at time: June/24|14:13:44 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 28.7 0.0 688.0 0.0 False True False 1
Data at time: June/24|14:13:44 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 716.0 0.0 False True False 1
Data at time: June/24|14:13:44 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.3 0.0 716.0 0.0 False True False 1
Data at time: June/24|14:13:45 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.3 0.0 672.0 0.0 False True False 1
Data at time: June/24|14:13:45 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 668.0 0.0 False True False 1
Data at time: June/24|14:13:45 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 692.0 0.0 False True False 1
Data at time: June/24|14:13:45 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 638.0 0.0 False True False 1
Data at time: June/24|14:13:46 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.3 0.0 675.0 0.0 False True False 1
Data at time: June/24|14:13:46 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 28.9 0.0 618.0 0.0 False True False 1
Data at time: June/24|14:13:46 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 604.0 0.0 False True False 1
Data at time: June/24|14:13:46 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 696.0 0.0 False True False 1
Data at time: June/24|14:13:47 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.4 0.0 646.0 0.0 False True False 1
Data at time: June/24|14:13:47 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.0 0.0 659.0 0.0 False True False 1
Data at time: June/24|14:13:47 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.3 0.0 729.0 0.0 False True False 1
Data at time: June/24|14:13:47 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 650.0 0.0 False True False 1
Data at time: June/24|14:13:48 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.4 0.0 677.0 0.0 False True False 1
Data at time: June/24|14:13:48 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 672.0 0.0 False True False 1
Data at time: June/24|14:13:48 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 685.0 0.0 False True False 1
Data at time: June/24|14:13:48 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 677.0 0.0 False True False 1
Data at time: June/24|14:13:49 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.0 0.0 630.0 0.0 False True False 1
Data at time: June/24|14:13:49 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 634.0 0.0 False True False 1
Data at time: June/24|14:13:49 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 666.0 0.0 False True False 1
Data at time: June/24|14:13:49 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 629.0 0.0 False True False 1
Data at time: June/24|14:13:50 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.4 0.0 659.0 0.0 False True False 1
Data at time: June/24|14:13:50 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.0 0.0 638.0 0.0 False True False 1
Data at time: June/24|14:13:50 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.3 0.0 662.0 0.0 False True False 1
Data at time: June/24|14:13:50 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 643.0 0.0 False True False 1
Data at time: June/24|14:13:51 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 635.0 0.0 False True False 1
Data at time: June/24|14:13:51 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 674.0 0.0 False True False 1
Data at time: June/24|14:13:51 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.0 0.0 643.0 0.0 False True False 1
Data at time: June/24|14:13:51 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 646.0 0.0 False True False 1
Data at time: June/24|14:13:52 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 692.0 0.0 False True False 1
Data at time: June/24|14:13:52 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.3 0.0 645.0 0.0 False True False 1
